logFC	logCPM	LR	PValue	FDR	geneId
-0.90509088	4.863456073	31.52212199	1.97E-08	1.11E-06	AT1G64660
-0.857239195	3.308435079	31.49853204	2.00E-08	1.12E-06	AT3G14370
-1.041096086	3.194431401	31.45176792	2.04E-08	1.15E-06	AT4G30410
1.107137099	3.544676265	31.43181155	2.07E-08	1.15E-06	AT4G01026
-0.888299986	3.338671519	31.4198481	2.08E-08	1.16E-06	AT3G48460
1.058505189	3.22897173	31.24725309	2.27E-08	1.26E-06	AT3G14440
0.754814205	8.850621603	31.18894764	2.34E-08	1.30E-06	AT1G11670
-1.013499925	2.31440352	31.0452454	2.52E-08	1.39E-06	AT1G09540
-1.798188009	0.645543557	30.9320279	2.67E-08	1.47E-06	AT1G06330
-0.704551237	4.380358869	30.92924003	2.68E-08	1.47E-06	AT4G12050
0.777642955	6.386061536	30.85015035	2.79E-08	1.53E-06	AT1G52140
-0.68730302	6.165057568	30.83057449	2.82E-08	1.54E-06	AT3G24670
1.045722583	2.664606859	30.74585843	2.94E-08	1.60E-06	AT5G19190
0.673804297	5.093752036	30.73251848	2.96E-08	1.61E-06	AT2G47260
